,X_Maximum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas
X_Maximum,46733.77351325145,-60848696.53001778,-320672.3293471235,-15750.508120555927,-12943.764261473818,-32609924.84308339,3686.072923400129,2040.9049369747897,1237.643907563025,16.73400129282482,25.360208084195214,-6.929295252908853,4.696192937944409,-1.5158671097285061,16.65353756464124,22.50462671703296,30.83904330963154,-76.31961832175178,-47.78156352213961,-31.147333734647713,27.678762075791855,18.082858375080797,-30.09314132999354
Y_Maximum,-60848696.53001778,1821810249729.1226,1027980975.5686008,83317353.38114092,160209448.88615063,48997689854.15641,-5669890.138534259,-6007837.239495798,-7505510.375525212,-114611.18818681315,-47711.366833791195,21948.268112023263,-59251.27801519473,4294.736092392538,-19165.627981399488,-35306.42553322155,-86404.0689641241,168069.82102341225,111447.6991247212,73014.35650075958,-82046.879834474,-50711.21100045654,73811.60518836054
Pixels_Areas,-320672.3293471235,1027980975.5686008,104771842.62131006,6692648.90012928,10371695.260477267,9008476632.103954,-154934.00737987502,6294.463585434172,10070.206232493,547.0100732600735,-492.113408317173,585.2306148351648,200.19533952273238,223.05612285067875,-1121.1928552830746,-354.5731797847985,556.0751993104935,3456.8787507379884,1427.0258939169896,2840.74133628663,980.3328791478125,-300.21097455424484,575.0403683836996
X_Perimeter,-15750.508120555927,83317353.38114092,6692648.90012928,442770.57199418236,706256.5008888174,557116030.4314802,-7764.045329670333,769.5856092436976,771.6039915966393,31.92388493859081,-24.092838978668397,38.161111700064644,10.595813081771182,10.99424629524887,-67.82368626777634,-13.284025977698777,45.34168956043956,183.05746997414354,68.4117269998384,169.12857370717515,72.43565576923075,-15.702641705720753,28.52110557530705
Y_Perimeter,-12943.764261473818,160209448.88615063,10371695.260477267,706256.5008888174,1206390.5104503338,807551258.148028,-6894.471692523163,1492.0731792717079,-1364.1952030812342,10.20712131006248,-17.57109504821159,44.18237772705235,-16.550167067981036,6.495980627828053,-65.41729197371257,13.410583970318896,63.25045114199523,176.64047290454639,44.054838831878904,207.79169988418445,105.11951711915535,-21.062039076976948,19.50566071697911
Sum_of_Luminosity,-32609924.84308339,48997689854.15641,9008476632.103954,557116030.4314802,807551258.148028,819345542425.2291,-16498427.91709761,777671.2935924365,2214134.326680672,49759.90627020039,-53267.33042988847,58474.643318245,44601.84544241275,25470.51969318439,-123180.77026663705,-50984.93259114012,60033.133948771814,361544.7547211214,157340.8394996081,278177.34185056156,96509.49238156108,-22290.54260549046,62063.26280026664
Minimum_of_Luminosity,3686.072923400129,-5669890.138534259,-154934.00737987502,-7764.045329670333,-6894.471692523163,-16498427.91709761,1458.213181426417,439.2359943977589,-153.8338585434174,-1.9725005386770111,3.9315105715363075,-1.7500445943762115,1.0777433836996337,-1.4552888574660632,3.738841272085757,4.623318003932343,4.758854503339798,-22.18673087696618,-12.860668416020252,-10.747229632622279,3.816647633861237,4.44826670033398,-6.557407350247789
Maximum_of_Luminosity,2040.9049369747897,-6007837.239495798,6294.463585434172,769.5856092436976,1492.0731792717079,777671.2935924365,439.2359943977589,333.3806022408964,2.285014005602313,-0.7913165266106413,1.7686827906162461,-0.221586449579832,2.057702923669468,-0.3529577205882354,-0.14244572829131655,1.575150140056022,4.206582633053222,-5.859388305322128,-4.358409856442576,-1.5292434523809533,4.1363825980392175,2.716173704481793,-2.7371007703081234
Length_of_Conveyer,1237.643907563025,-7505510.375525212,10070.206232493,771.6039915966393,-1364.1952030812342,2214134.326680672,-153.8338585434174,2.285014005602313,2521.5570728291295,-1.8207282913165288,1.3219566876750697,0.8063650210084035,3.925975717787115,-0.19247352941176482,-2.6966545518207283,-0.5342057422969189,4.53562675070028,2.0300502976190486,-0.001872356442577014,2.644925297619048,4.369842524509804,-0.48470239845938345,0.21098967086834725
Steel_Plate_Thickness,16.73400129282482,-114611.18818681315,547.0100732600735,31.92388493859081,10.20712131006248,49759.90627020039,-1.9725005386770111,-0.7913165266106413,-1.8207282913165288,0.7299073475544064,-0.008740519284636926,0.01469962023270847,-0.015493886015944836,0.019054015837104088,0.0031840928679163984,-0.01537979422538246,-0.021143072613660947,0.04109798534798532,0.04136553275156219,0.019269365438483083,-0.02246285822021116,-0.0077025425554837325,0.005482816203404424
Edges_Index,25.360208084195214,-47711.366833791195,-492.113408317173,-24.092838978668397,-17.57109504821159,-53267.33042988847,3.9315105715363075,1.7686827906162461,1.3219566876750697,-0.008740519284636926,0.029322550152176247,-0.00927696449337427,0.007154423945270417,-0.00604773892816742,0.014691690702434819,0.022416504283424912,0.026356697101917688,-0.08401591068950658,-0.053519106058231,-0.03759469180375996,0.024296569409879343,0.01597542467342706,-0.027550420565341533
Empty_Index,-6.929295252908853,21948.268112023263,585.2306148351648,38.161111700064644,44.18237772705235,58474.643318245,-1.7500445943762115,-0.221586449579832,0.8063650210084035,0.01469962023270847,-0.00927696449337427,0.015301877435358758,0.0047202909126535224,0.004943617912895929,-0.01765536840012928,-0.0115986224115223,0.003021101325145443,0.051673383466790554,0.030409226338073688,0.03616401484688107,0.005163046651583711,-0.0034676463013089843,0.015266872229718809
Square_Index,4.696192937944409,-59251.27801519473,200.19533952273238,10.595813081771182,-16.550167067981036,44601.84544241275,1.0777433836996337,2.057702923669468,3.925975717787115,-0.015493886015944836,0.007154423945270417,0.0047202909126535224,0.06448601096503986,-0.004105918495475112,-0.03632550681305213,-0.0006532617276718377,0.07029660768153415,0.0013338897425123884,-0.019666154456878908,0.02318558761581555,0.06865433111613874,0.016339147606388715,-0.009700559430214393
Outside_X_Index,-1.5158671097285061,4294.736092392538,223.05612285067875,10.99424629524887,6.495980627828053,25470.51969318439,-1.4552888574660632,-0.3529577205882354,-0.19247352941176482,0.019054015837104088,-0.00604773892816742,0.004943617912895929,-0.004105918495475112,0.004742987850678733,-0.00221936380373303,-0.0073062910435520365,-0.009753153280542982,0.02915360131221719,0.020885584225113128,0.013879519581447963,-0.009524727420814479,-0.0037624177177601795,0.007481503634049777
Edges_X_Index,16.65353756464124,-19165.627981399488,-1121.1928552830746,-67.82368626777634,-65.41729197371257,-123180.77026663705,3.738841272085757,-0.14244572829131655,-2.6966545518207283,0.0031840928679163984,0.014691690702434819,-0.01765536840012928,-0.03632550681305213,-0.00221936380373303,0.05690835756006248,0.0228477085485348,-0.03855776637578109,-0.0984132912595615,-0.039255817982519925,-0.07308362431386015,-0.04451285310708898,0.0027763352006571853,-0.025670456015810174
Edges_Y_Index,22.50462671703296,-35306.42553322155,-354.5731797847985,-13.284025977698777,13.410583970318896,-50984.93259114012,4.623318003932343,1.575150140056022,-0.5342057422969189,-0.01537979422538246,0.022416504283424912,-0.0115986224115223,-0.0006532617276718377,-0.0073062910435520365,0.0228477085485348,0.030680552203727653,0.02494074148890325,-0.09927777290333442,-0.0625960402273217,-0.044652181698583274,0.02302364875471343,0.014377690950360912,-0.031097713712696616
Outside_Global_Index,30.83904330963154,-86404.0689641241,556.0751993104935,45.34168956043956,63.25045114199523,60033.133948771814,4.758854503339798,4.206582633053222,4.53562675070028,-0.021143072613660947,0.026356697101917688,0.003021101325145443,0.07029660768153415,-0.009753153280542982,-0.03855776637578109,0.02494074148890325,0.20285902822667506,-0.05783195162680457,-0.0727517729207067,0.01925817846369317,0.13807096530920063,0.033017152822667525,-0.032520755225166974
LogOfAreas,-76.31961832175178,168069.82102341225,3456.8787507379884,183.05746997414354,176.64047290454639,361544.7547211214,-22.18673087696618,-5.859388305322128,2.0300502976190486,0.04109798534798532,-0.08401591068950658,0.051673383466790554,0.0013338897425123884,0.02915360131221719,-0.0984132912595615,-0.09927777290333442,-0.05783195162680457,0.4714570273524025,0.26690082062836673,0.24690378800002696,-0.04394367358691554,-0.06701313343473926,0.13521819356590714
Log_X_Index,-47.78156352213961,111447.6991247212,1427.0258939169896,68.4117269998384,44.054838831878904,157340.8394996081,-12.860668416020252,-4.358409856442576,-0.001872356442577014,0.04136553275156219,-0.053519106058231,0.030409226338073688,-0.019666154456878908,0.020885584225113128,-0.039255817982519925,-0.0625960402273217,-0.0727517729207067,0.26690082062836673,0.16786640197344327,0.12411346151637576,-0.06630810279317496,-0.044083756042070675,0.08164279663771273
Log_Y_Index,-31.147333734647713,73014.35650075958,2840.74133628663,169.12857370717515,207.79169988418445,278177.34185056156,-10.747229632622279,-1.5292434523809533,2.644925297619048,0.019269365438483083,-0.03759469180375996,0.03616401484688107,0.02318558761581555,0.013879519581447963,-0.07308362431386015,-0.044652181698583274,0.01925817846369317,0.24690378800002696,0.12411346151637576,0.15684594732977813,0.0291782548944193,-0.025462528293336565,0.0645748326581017
Orientation_Index,27.678762075791855,-82046.879834474,980.3328791478125,72.43565576923075,105.11951711915535,96509.49238156108,3.816647633861237,4.1363825980392175,4.369842524509804,-0.02246285822021116,0.024296569409879343,0.005163046651583711,0.06865433111613874,-0.009524727420814479,-0.04451285310708898,0.02302364875471343,0.13807096530920063,-0.04394367358691554,-0.06630810279317496,0.0291782548944193,0.13316802041478126,0.03089505649415536,-0.027662816260369535
Luminosity_Index,18.082858375080797,-50711.21100045654,-300.21097455424484,-15.702641705720753,-21.062039076976948,-22290.54260549046,4.44826670033398,2.716173704481793,-0.48470239845938345,-0.0077025425554837325,0.01597542467342706,-0.0034676463013089843,0.016339147606388715,-0.0037624177177601795,0.0027763352006571853,0.014377690950360912,0.033017152822667525,-0.06701313343473926,-0.044083756042070675,-0.025462528293336565,0.03089505649415536,0.02743774859109028,-0.026440508059281408
SigmoidOfAreas,-30.09314132999354,73811.60518836054,575.0403683836996,28.52110557530705,19.50566071697911,62063.26280026664,-6.557407350247789,-2.7371007703081234,0.21098967086834725,0.005482816203404424,-0.027550420565341533,0.015266872229718809,-0.009700559430214393,0.007481503634049777,-0.025670456015810174,-0.031097713712696616,-0.032520755225166974,0.13521819356590714,0.08164279663771273,0.0645748326581017,-0.027662816260369535,-0.026440508059281408,0.04932183613957128
